"id";"category_id";"locale";"slug";"name";"created_at";"updated_at"
;17;"de";;"Beratung";2023-06-05 00:00:00;2023-09-07 10:39:19
;18;"de";;"Betreuung";2023-06-05 00:00:00;2023-09-07 10:39:19
;19;"de";;"Kommunikation";2023-06-05 00:00:00;2023-09-07 10:39:19
;20;"de";;"Gemeinschaft";2023-06-05 00:00:00;2023-09-07 10:39:19
;21;"de";;"Bau";2023-06-05 00:00:00;2023-09-07 10:39:19
;22;"de";;"Kulinarik";2023-06-05 00:00:00;2023-09-07 10:39:19
;23;"de";;"Kultur";2023-06-05 00:00:00;2023-09-07 10:39:19
;24;"de";;"Bildung";2023-06-05 00:00:00;2023-09-07 10:39:19
;25;"de";;"Unterhaltung";2023-06-05 00:00:00;2023-09-07 10:39:19
;26;"de";;"Landwirtschaft & Gartenarbeit";2023-06-05 00:00:00;2023-09-07 10:39:19
;27;"de";;"Wartung";2023-06-05 00:00:00;2023-09-07 10:39:19
;28;"de";;"Organisation";2023-06-05 00:00:00;2023-09-07 10:39:19
;29;"de";;"Freizeit";2023-06-05 00:00:00;2023-09-07 10:39:19
;30;"de";;"Forschung";2023-06-05 00:00:00;2023-09-07 10:39:19
;31;"de";;"Technologie";2023-06-05 00:00:00;2023-09-07 10:39:19
;32;"de";;"Transport";2023-06-05 00:00:00;2023-09-07 10:39:19
;33;"de";;"Persönliche Beratung";2023-06-05 00:00:00;2023-09-07 10:39:19
;34;"de";;"Berufliche Beratung";2023-06-05 00:00:00;2023-09-07 10:39:19
;35;"de";;"Nachhaltigkeitsberatung";2023-06-05 00:00:00;2023-09-07 10:39:19
;36;"de";;"Kinderbetreuung";2023-06-05 00:00:00;2023-09-07 10:39:19
;37;"de";;"Seniorenbetreuung";2023-06-05 00:00:00;2023-09-07 10:39:19
;38;"de";;"Gesundheitswesen";2023-06-05 00:00:00;2023-09-07 10:39:19
;39;"de";;"Gastfreundschaft";2023-06-05 00:00:00;2023-09-07 10:39:19
;40;"de";;"Tierbetreuung";2023-06-05 00:00:00;2023-09-07 10:39:19
;41;"de";;"Wellness";2023-06-05 00:00:00;2023-09-07 10:39:19
;42;"de";;"Sprache";2023-06-05 00:00:00;2023-09-07 10:39:19
;43;"de";;"Medien";2023-06-05 00:00:00;2023-09-07 10:39:19
;44;"de";;"Präsentation";2023-06-05 00:00:00;2023-09-07 10:39:19
;45;"de";;"Schreiben & Inhalt";2023-06-05 00:00:00;2023-09-07 10:39:19
;46;"de";;"Aktivismus & Politik";2023-06-05 00:00:00;2023-09-07 10:39:19
;47;"de";;"Gemeindeveranstaltungen";2023-06-05 00:00:00;2023-09-07 10:39:19
;48;"de";;"Gemeinschaftsprojekte";2023-06-05 00:00:00;2023-09-07 10:39:19
;49;"de";;"Verwaltung";2023-06-05 00:00:00;2023-09-07 10:39:19
;50;"de";;"Bau";2023-06-05 00:00:00;2023-09-07 10:39:19
;51;"de";;"Heimwerken";2023-06-05 00:00:00;2023-09-07 10:39:19
;52;"de";;"Malerei (Handwerk)";2023-06-05 00:00:00;2023-09-07 10:39:19
;53;"de";;"Metallverarbeitung";2023-06-05 00:00:00;2023-09-07 10:39:19
;54;"de";;"Sanitär";2023-06-05 00:00:00;2023-09-07 10:39:19
;55;"de";;"Holzbearbeitung";2023-06-05 00:00:00;2023-09-07 10:39:19
;56;"de";;"Kulinarische Veranstaltungen";2023-06-05 00:00:00;2023-09-07 10:39:19
;57;"de";;"Lebensmittel- / Getränkezubereitung";2023-06-05 00:00:00;2023-09-07 10:39:19
;58;"de";;"Restaurantdienst";2023-06-05 00:00:00;2023-09-07 10:39:19
;59;"de";;"Schauspielerei";2023-06-05 00:00:00;2023-09-07 10:39:19
;60;"de";;"Kunst & Kreativität";2023-06-05 00:00:00;2023-09-07 10:39:19
;61;"de";;"Tanz";2023-06-05 00:00:00;2023-09-07 10:39:19
;62;"de";;"Design & Architektur";2023-06-05 00:00:00;2023-09-07 10:39:19
;63;"de";;"Literatur & Poesie";2023-06-05 00:00:00;2023-09-07 10:39:19
;64;"de";;"Musik";2023-06-05 00:00:00;2023-09-07 10:39:19
;65;"de";;"Video & Fotografie";2023-06-05 00:00:00;2023-09-07 10:39:19
;66;"de";;"Allgemeinbildung";2023-06-05 00:00:00;2023-09-07 10:39:19
;67;"de";;"Grundschulbildung";2023-06-05 00:00:00;2023-09-07 10:39:19
;68;"de";;"Berufsbildung";2023-06-05 00:00:00;2023-09-07 10:39:19
;69;"de";;"Sekundarschulbildung";2023-06-05 00:00:00;2023-09-07 10:39:19
;70;"de";;"Hochschulbildung";2023-06-05 00:00:00;2023-09-07 10:39:19
;71;"de";;"Unterhaltung & Darbietungen";2023-06-05 00:00:00;2023-09-07 10:39:19
;72;"de";;"Spiele";2023-06-05 00:00:00;2023-09-07 10:39:19
;73;"de";;"Reinigung & Aufräumen";2023-06-05 00:00:00;2023-09-07 10:39:19
;74;"de";;"Besorgungen";2023-06-05 00:00:00;2023-09-07 10:39:19
;75;"de";;"Reparaturen";2023-06-05 00:00:00;2023-09-07 10:39:19
;76;"de";;"Buchhaltung und Verwaltung (gemeinnützig)";2023-06-05 00:00:00;2023-09-07 10:39:19
;77;"de";;"Veranstaltungsorganisation";2023-06-05 00:00:00;2023-09-07 10:39:19
;78;"de";;"Finanzen";2023-06-05 00:00:00;2023-09-07 10:39:19
;79;"de";;"Marketing";2023-06-05 00:00:00;2023-09-07 10:39:19
;80;"de";;"Projektmanagement";2023-06-05 00:00:00;2023-09-07 10:39:19
;81;"de";;"Hobby";2023-06-05 00:00:00;2023-09-07 10:39:19
;82;"de";;"Sport";2023-06-05 00:00:00;2023-09-07 10:39:19
;83;"de";;"Datenwissenschaft und Analyse";2023-06-05 00:00:00;2023-09-07 10:39:19
;84;"de";;"Feldarbeit";2023-06-05 00:00:00;2023-09-07 10:39:19
;85;"de";;"Philosophie";2023-06-05 00:00:00;2023-09-07 10:39:19
;86;"de";;"Forschung & Entwicklung";2023-06-05 00:00:00;2023-09-07 10:39:19
;87;"de";;"Automatisierung und Robotik";2023-06-05 00:00:00;2023-09-07 10:39:19
;88;"de";;"Computer & IT";2023-06-05 00:00:00;2023-09-07 10:39:19
;89;"de";;"Elektronik";2023-06-05 00:00:00;2023-09-07 10:39:19
;90;"de";;"Mechanik";2023-06-05 00:00:00;2023-09-07 10:39:19
;91;"de";;"Lieferung";2023-06-05 00:00:00;2023-09-07 10:39:19
;92;"de";;"Fahrerdienste";2023-06-05 00:00:00;2023-09-07 10:39:19
;93;"de";;"Umzugsdienste";2023-06-05 00:00:00;2023-09-07 10:39:19
